,Beta
NVDA,5.1372646691325805
CEG,3.947824301435933
SMCI,3.488624170250929
MU,3.451434191981935
APH,2.9608573964460434
CDNS,2.8250036762103927
TSLA,2.5800000190943164
GLW,2.527272999142108
AMD,2.212822628574761
STX,2.1017536364564418
DECK,2.0952335780863485
EQT,2.0071297330016806
IVZ,1.8018363799420845
AMAT,1.781324499889558
GOOG,1.7419187254853792
RL,1.6862488757549616
KLAC,1.5792999761147393
TT,1.5649872049211697
DLR,1.5486221766778825
HUBB,1.5461021855293142
BLK,1.4971380565661518
RCL,1.4950348566004208
HWM,1.4747409585728093
URI,1.3806547037342585
BX,1.3660110426277128
QCOM,1.290021815533168
AMZN,1.2756246412738876
PEG,1.24413243917827
TXN,1.2360881605091307
ANSS,1.2118553563376235
AXP,1.2080188993712908
TEL,1.2033004049005294
COF,1.1593364305058387
WFC,1.0858171112261346
HAL,1.075243549018151
PH,1.0593279281263686
CMI,1.003802398046478
GE,0.9892755197012202
MCHP,0.9796542738189482
RJF,0.970649926561085
EQIX,0.9632664143835533
MSCI,0.9508931089429311
IRM,0.9331061239292283
CAT,0.9324674725334696
DVN,0.8793641300849339
HBAN,0.8579241419377605
MOS,0.8393699978441783
APA,0.8374208306874952
NEM,0.8329233849056151
CDW,0.8183830134802869
LEN,0.8049506369984827
DD,0.7992366188698333
WBA,0.7755228988904705
SW,0.7530962993295922
BKR,0.7346846067558692
GEN,0.7257505454026987
TECH,0.7089543133804903
AXON,0.6943558768403426
FFIV,0.6767156669756972
MPC,0.6763574480450156
OKE,0.650965330477709
DHR,0.6343001937307313
CZR,0.60113615918061
RTX,0.5880928789896674
APD,0.5834885281734132
JPM,0.5831641056535645
FANG,0.5789075805341665
FICO,0.5766676208947712
FITB,0.552182963181732
RF,0.5521542819645561
CPRT,0.5257626752509971
CE,0.5089813649166559
ENPH,0.507390506931453
J,0.5051937725420639
PNR,0.4969075059357952
SNA,0.49445361736194543
LOW,0.4916872204081072
IBM,0.48802788366984884
MSI,0.47658430804827806
SYF,0.4707209347719649
SHW,0.4692481819476787
AKAM,0.4503036118706339
EPAM,0.44022152403846737
BWA,0.43996456295988356
NVR,0.4065868940287025
KMX,0.40251411664446096
DLTR,0.39607477603493324
SWK,0.3704379426009319
BAC,0.3478363221335799
PTC,0.34693801475228453
COP,0.3376415631545614
IT,0.3286052672262827
WBD,0.3236624927048935
IQV,0.3120509877501922
ECL,0.3117536359978846
CRL,0.30638849049378
EOG,0.2997420604803986
XYL,0.29502734286944027
LULU,0.28671929962055326
ODFL,0.2800304466047419
LKQ,0.2696018752743045
ZBH,0.2685422442442617
NKE,0.2611566575691667
SPGI,0.23846881567815112
VLO,0.23769417950587488
PAYC,0.23327380697676528
BEN,0.2180925219057172
CF,0.2050653731210774
XOM,0.19968664253056215
TSCO,0.17200290370056004
CTVA,0.17020263926464352
MAS,0.16740592913227323
JNPR,0.15093904800736024
UNH,0.1298772696045459
RVTY,0.12823908356844022
GPN,0.11790387623764435
LIN,0.11744029785050852
CHTR,0.10141544616675306
CRM,0.0754234376724007
LYB,0.06302478900545361
PAYX,0.05786678323359225
RSG,0.04923205514231912
UNP,0.04040788682363417
CTAS,0.02770988232502767
PRU,0.020241762093175013
TJX,0.01907787448068972
HAS,0.01827838974735886
APTV,0.006423071953639933
MAR,0.004950434281411367
MTCH,-0.008312658656471605
AZO,-0.014382124663242872
F,-0.020104520695396897
GM,-0.022876490991640443
VLTO,-0.026600600675799554
WM,-0.03477424736455172
ITW,-0.03684320517652399
YUM,-0.0440444488366077
MTD,-0.05408305184596251
MCD,-0.058417763593116914
NSC,-0.0695357730944647
K,-0.07069461154695406
UPS,-0.07977894325427864
MDT,-0.10120315095086795
ESS,-0.10945624413250632
DG,-0.12772096686156276
ZTS,-0.1407492341192363
GILD,-0.15922967521419337
PSA,-0.1782920024217318
PYPL,-0.19681943789752931
BIIB,-0.20447902614416488
AVY,-0.24950267413905952
FI,-0.25889020871803664
VRSN,-0.26882528952283624
HSIC,-0.2935086532687687
UHS,-0.30512322203706355
AVB,-0.3080928858354079
FOXA,-0.3085314197880885
JKHY,-0.3106019835312061
NWSA,-0.3140245472325733
HRL,-0.3264956384415274
DRI,-0.327726354645441
NOC,-0.3538598682754339
LMT,-0.3645530428711537
TRV,-0.3675858000879371
TDG,-0.36981620074023025
WELL,-0.37282074237323365
MMC,-0.38487605911812506
FOX,-0.3966045646884074
FSLR,-0.4073793693213585
BRO,-0.4356792929281302
UAL,-0.4412598174634266
VRSK,-0.46088960724186007
KHC,-0.48490364816484804
TMUS,-0.49331990681710913
LHX,-0.5180901019533329
ELV,-0.5225748197450849
EQR,-0.5232957657807757
DVA,-0.5325101596551182
CL,-0.5329634503471253
MAA,-0.5373074560825432
STZ,-0.5448214956579122
PGR,-0.5586479864749917
HOLX,-0.59054521162627
MNST,-0.598394263128824
LW,-0.6065385923230995
CPT,-0.6116348882261636
IDXX,-0.6767135689324214
KMB,-0.682706381395233
AJG,-0.69023466703844
PEP,-0.7283546521190242
HII,-0.7396166155105764
CBOE,-0.7404157583447679
AEP,-0.7470134616920003
MKC,-0.7992194974907024
SBAC,-0.8409695953923741
CLX,-0.8456835172019234
CAG,-0.8886181502158357
FE,-0.9967046242580742
ERIE,-1.0221273224037941
EXPE,-1.2894237060501441
